ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-15,223.88906506226195,206.66915614015056,251.82228655891976,223.88906506226195,223.88906506226195,4.392535462087003,4.392535462087003,4.392535462087003,4.392535462087003,4.392535462087003,4.392535462087003,0.0,0.0,0.0,228.28160052434896
2023-12-18,222.86299593438557,204.59571963857636,249.30095977081086,222.86299593438557,222.86299593438557,3.933569211805691,3.933569211805691,3.933569211805691,3.933569211805691,3.933569211805691,3.933569211805691,0.0,0.0,0.0,226.79656514619126
2023-12-19,222.52097289176012,207.26597863895245,251.4754162936604,222.52097289176012,222.52097289176012,6.013684567130013,6.013684567130013,6.013684567130013,6.013684567130013,6.013684567130013,6.013684567130013,0.0,0.0,0.0,228.53465745889014
2023-12-20,222.17894984913465,205.38771513092053,250.39866403091062,222.17894984913465,222.17894984913465,5.485970907466619,5.485970907466619,5.485970907466619,5.485970907466619,5.485970907466619,5.485970907466619,0.0,0.0,0.0,227.66492075660128
2023-12-21,221.8369268065092,201.7866729519548,246.27445454072813,221.8369268065092,221.8369268065092,4.121344662304351,4.121344662304351,4.121344662304351,4.121344662304351,4.121344662304351,4.121344662304351,0.0,0.0,0.0,225.95827146881356
2023-12-22,221.49490376388377,203.53918584707,249.38481427114834,221.49490376388377,221.49490376388377,4.3925354620862445,4.3925354620862445,4.3925354620862445,4.3925354620862445,4.3925354620862445,4.3925354620862445,0.0,0.0,0.0,225.88743922597
2023-12-26,219.45123761924498,201.9355360400384,247.88454246513558,219.45123761924498,219.45123761924498,6.0136845671341455,6.0136845671341455,6.0136845671341455,6.0136845671341455,6.0136845671341455,6.0136845671341455,0.0,0.0,0.0,225.4649221863791
2023-12-27,218.94032108308528,201.61624158156127,246.55790205738498,218.94032108308528,218.94032108308528,5.485970907466212,5.485970907466212,5.485970907466212,5.485970907466212,5.485970907466212,5.485970907466212,0.0,0.0,0.0,224.4262919905515
2023-12-28,218.42940454692558,200.03615423421402,246.1660282562474,218.42940454692558,218.42940454692558,4.121344662294151,4.121344662294151,4.121344662294151,4.121344662294151,4.121344662294151,4.121344662294151,0.0,0.0,0.0,222.55074920921973
2023-12-29,217.91848801076588,199.73944192618782,243.91361662038344,217.91848801076588,217.91848801076588,4.392535462066198,4.392535462066198,4.392535462066198,4.392535462066198,4.392535462066198,4.392535462066198,0.0,0.0,0.0,222.3110234728321
2024-01-02,215.87482186612706,198.98333739551708,243.96359160917356,215.87482186612706,215.87482186612706,6.013684567142883,6.013684567142883,6.013684567142883,6.013684567142883,6.013684567142883,6.013684567142883,0.0,0.0,0.0,221.88850643326995
2024-01-03,215.36390532996737,199.63397962495324,243.35779188556987,215.36390532996737,215.36390532996737,5.48597090746335,5.48597090746335,5.48597090746335,5.48597090746335,5.48597090746335,5.48597090746335,0.0,0.0,0.0,220.84987623743072
2024-01-04,214.85298879380767,196.74932189779955,241.43508837366448,214.85298879380767,214.85298879380767,4.121344662297523,4.121344662297523,4.121344662297523,4.121344662297523,4.121344662297523,4.121344662297523,0.0,0.0,0.0,218.9743334561052
2024-01-05,214.34207225764797,196.20725944300105,240.6501776843145,214.34207225764797,214.34207225764797,4.392535462091353,4.392535462091353,4.392535462091353,4.392535462091353,4.392535462091353,4.392535462091353,0.0,0.0,0.0,218.73460771973933
2024-01-08,212.71500798700723,195.4591689641185,240.0625224811248,212.71500798700723,212.71500798700723,3.9335692117773813,3.9335692117773813,3.9335692117773813,3.9335692117773813,3.9335692117773813,3.9335692117773813,0.0,0.0,0.0,216.6485771987846
2024-01-09,212.17265323012697,195.72071070287774,239.04728578156002,212.17265323012697,212.17265323012697,6.013684567138605,6.013684567138605,6.013684567138605,6.013684567138605,6.013684567138605,6.013684567138605,0.0,0.0,0.0,218.18633779726557
2024-01-10,211.6302984732467,194.04137779233136,239.5597309123289,211.6302984732467,211.6302984732467,5.485970907465394,5.485970907465394,5.485970907465394,5.485970907465394,5.485970907465394,5.485970907465394,0.0,0.0,0.0,217.1162693807121
2024-01-11,211.08794371636648,191.94335053067635,238.00314298253167,211.08794371636648,211.08794371636648,4.121344662296906,4.121344662296906,4.121344662296906,4.121344662296906,4.121344662296906,4.121344662296906,0.0,0.0,0.0,215.2092883786634
2024-01-12,210.54558895948622,192.89758517321278,236.3837685515994,210.54558895948622,210.54558895948622,4.392535462090593,4.392535462090593,4.392535462090593,4.392535462090593,4.392535462090593,4.392535462090593,0.0,0.0,0.0,214.93812442157682
2024-01-16,208.37616993196522,191.69661041997475,237.1256699410665,208.37616993196522,208.37616993196522,6.0136845671343275,6.0136845671343275,6.0136845671343275,6.0136845671343275,6.0136845671343275,6.0136845671343275,0.0,0.0,0.0,214.38985449909956
2024-01-17,207.833815175085,190.2165922495669,236.23872651300493,207.833815175085,207.833815175085,5.485970907462535,5.485970907462535,5.485970907462535,5.485970907462535,5.485970907462535,5.485970907462535,0.0,0.0,0.0,213.31978608254752
2024-01-18,207.29146041820474,188.79718209636744,233.56552496036966,207.29146041820474,207.29146041820474,4.121344662300279,4.121344662300279,4.121344662300279,4.121344662300279,4.121344662300279,4.121344662300279,0.0,0.0,0.0,211.41280508050502
2024-01-19,206.74910565075623,188.41062948684086,232.71681483960847,206.74910565075623,206.74910565075623,4.3925354620898345,4.3925354620898345,4.3925354620898345,4.3925354620898345,4.3925354620898345,4.3925354620898345,0.0,0.0,0.0,211.14164111284606
2024-01-22,205.12204134841073,186.21659393858346,231.03220238593047,205.12204134841073,205.12204134841073,3.9335692118025327,3.9335692118025327,3.9335692118025327,3.9335692118025327,3.9335692118025327,3.9335692118025327,0.0,0.0,0.0,209.05561056021327
